aX,aY,aZ,gX,gY,gZ
0.771,-0.268,-0.636,-2.38,10.15,-20.16
0.769,-0.259,-0.633,-0.21,12.81,-20.51
0.767,-0.248,-0.616,4.27,14.07,-18.41
0.777,-0.249,-0.606,7.42,12.53,-15.75
0.778,-0.233,-0.603,8.68,9.73,-9.87
0.798,-0.194,-0.616,8.96,7.91,-6.79
1.165,0.235,-1.165,34.58,-15.61,116.9
1.084,0.31,-1.238,30.03,-19.74,113.19
1.042,0.376,-1.407,37.31,-28.21,106.75
0.97,0.443,-1.439,42.7,-47.6,98.28
0.918,0.63,-1.729,40.32,-55.09,95.06
0.878,0.737,-1.935,35.07,-57.96,93.73
0.788,0.82,-2.201,21.21,-56.98,91.14
0.702,0.911,-2.194,3.5,-48.16,89.81
0.604,0.99,-2.263,-7.14,-36.96,80.22
0.428,1.057,-2.261,-7.98,-26.04,61.95
0.241,1.158,-2.284,-12.39,-7.77,43.19
0.058,1.249,-2.291,-18.2,17.57,3.71
-0.201,1.458,-2.233,-24.43,48.3,3.22
-0.467,1.632,-2.035,-39.69,82.32,17.57
-0.678,1.732,-1.764,-40.53,109.69,52.36
-0.951,1.743,-1.471,-42.07,129.36,100.45
-1.173,1.789,-1.178,-37.94,145.53,175.77
-1.393,1.688,-0.65,-24.36,146.23,252.49
-1.566,1.283,-0.214,-13.65,134.33,312.13
-1.617,0.609,0.136,5.95,125.44,349.51
-1.729,-0.124,0.539,23.17,112.77,360.29
-1.853,-0.988,0.973,38.36,98.28,341.18
-1.917,-1.914,1.444,36.61,85.61,304.5
-2.12,-2.593,1.923,21.35,77.98,273.98
-2.45,-2.856,2.309,6.65,77.84,290.43
-2.588,-3.108,2.626,-0.63,71.75,413.98
-2.542,-3.279,2.854,6.51,28.42,576.1
-2.186,-3.557,2.794,9.1,-87.43,776.72
-1.32,-4.207,2.369,45.78,-274.89,936.6
-0.5,-5.476,1.552,126.35,-455.07,978.32
0.061,-6.584,0.083,140.91,-509.53,853.37
0.346,-7.213,-2.015,54.39,-162.26,507.08
1.125,-6.092,-2.9,4.06,205.38,184.66
1.854,-4.754,-1.942,-112.07,455.14,-79.45
2.057,-4.248,-0.56,-75.6,550.2,-307.23
2.107,-3.262,0.763,1.68,507.08,-452.76
1.685,-1.886,1.258,69.44,382.13,-512.68
0.93,-0.805,1.288,159.88,247.03,-462.63
0.591,0.629,1.935,141.89,72.45,-302.05
0.246,0.765,0.912,239.68,-88.9,-118.3
-0.059,0.532,0.902,160.23,-218.47,4.27
-0.354,0.057,0.033,150.85,-282.94,88.27
-0.401,-0.387,-0.383,139.79,-276.85,124.25
-0.696,-0.937,-0.821,129.92,-210.14,102.55
-0.67,-1.388,-0.93,94.08,-146.72,46.76
-0.61,-1.697,-0.997,60.76,-84.84,-21.49
-0.522,-1.84,-1.042,28.0,-30.1,-101.22
-0.394,-1.748,-1.016,11.9,10.15,-143.99
-0.296,-1.567,-0.782,2.94,40.88,-165.69
-0.168,-1.369,-0.74,-2.8,56.7,-169.05
-0.129,-1.183,-0.57,-15.47,61.67,-164.43
-0.061,-0.996,-0.393,-11.27,61.81,-156.45
0.2,-0.793,-0.194,-16.59,49.42,-123.9
0.281,-0.807,0.028,-21.84,32.13,-109.97
0.333,-0.807,0.135,-16.87,13.02,-96.88
0.453,-0.845,0.185,-3.22,-2.59,-83.86
0.477,-0.992,0.201,10.92,-11.69,-75.04
0.453,-1.145,0.176,17.08,-15.47,-74.76
0.479,-1.267,0.183,19.25,-19.53,-81.34
0.474,-1.347,0.207,30.52,-25.34,-88.2
0.429,-1.385,0.24,34.16,-33.67,-92.68
0.383,-1.405,0.234,34.65,-45.15,-94.85
0.329,-1.406,0.192,31.85,-56.56,-92.26
0.257,-1.409,0.142,22.4,-63.77,-82.53
0.187,-1.399,0.1,7.35,-67.34,-78.75
0.15,-1.386,0.103,-4.69,-67.83,-79.73
0.158,-1.369,0.181,-13.37,-67.41,-82.6
0.188,-1.346,0.292,-17.36,-69.3,-88.2
0.198,-1.34,0.379,-18.34,-76.3,-99.4
0.248,-1.39,0.416,-19.39,-89.04,-113.19
0.31,-1.386,0.366,-22.05,-101.08,-128.45
0.278,-1.28,0.316,-30.52,-108.99,-135.87
0.205,-1.197,0.298,-39.41,-114.45,-137.62
0.155,-1.074,0.255,-46.06,-117.46,-134.19
0.113,-0.991,0.367,-54.39,-117.95,-129.43
0.109,-0.95,0.294,-59.85,-122.99,-123.62
0.113,-0.92,0.289,-63.21,-130.34,-119.0
0.126,-0.885,0.288,-67.41,-138.25,-117.11
0.135,-0.885,0.226,-70.21,-145.04,-118.58
0.151,-0.855,0.121,-68.81,-152.18,-123.41
0.155,-0.772,-0.043,-62.09,-157.08,-130.41
0.145,-0.689,-0.186,-60.06,-157.15,-136.64
0.152,-0.629,-0.296,-57.54,-152.25,-141.47
0.166,-0.582,-0.346,-58.31,-147.0,-145.04
0.199,-0.549,-0.39,-61.95,-143.43,-147.77
0.241,-0.492,-0.457,-67.2,-141.54,-148.54
0.254,-0.438,-0.49,-72.87,-141.12,-147.63
0.233,-0.406,-0.529,-75.11,-145.88,-147.28
0.234,-0.352,-0.59,-72.87,-150.22,-146.93
0.205,-0.303,-0.648,-70.28,-154.84,-149.66
0.159,-0.245,-0.776,-66.29,-155.89,-153.09
0.036,-0.01,-1.0,-59.71,-141.12,-147.35
-0.057,0.079,-1.211,-66.71,-109.97,-129.99
-0.026,0.2,-1.389,-75.46,-74.06,-106.68
0.208,0.301,-1.432,-81.41,-41.37,-80.78
0.239,0.349,-1.326,-86.94,-34.09,-56.21
0.351,0.363,-1.231,-87.36,-37.17,-35.98
0.413,0.388,-1.185,-85.54,-44.45,-23.17
0.447,0.412,-1.178,-82.74,-51.31,-15.82
0.481,0.413,-1.194,-78.68,-54.88,-16.31
0.498,0.383,-1.21,-72.38,-55.3,-23.03
0.528,0.319,-1.224,-61.11,-56.0,-36.89
0.481,0.289,-1.248,-44.45,-56.91,-53.97
0.395,0.265,-1.291,-28.07,-55.23,-67.9
0.319,0.265,-1.364,-9.45,-54.46,-73.36
0.193,0.263,-1.446,12.32,-53.83,-70.14
0.073,0.241,-1.529,29.75,-51.24,-60.97
0.027,0.089,-1.578,43.68,-48.44,-50.54
