aX,aY,aZ,gX,gY,gZ
0.568,-0.346,0.023,-127.89,198.38,94.08
0.55,-0.426,0.093,-138.95,209.93,92.4
0.547,-0.493,0.19,-153.02,222.11,86.59
0.527,-0.55,0.329,-154.63,231.77,79.38
0.675,-0.766,1.119,-89.39,109.13,122.15
0.757,-0.875,1.071,-88.62,103.11,114.8
0.781,-0.918,0.981,-81.83,100.45,105.28
0.778,-0.908,0.891,-84.91,99.96,96.88
0.773,-0.886,0.785,-92.12,98.49,90.44
0.747,-0.871,0.684,-94.64,95.97,86.31
0.722,-0.851,0.604,-89.18,92.05,81.97
0.69,-0.858,0.623,-62.65,94.15,79.31
0.71,-0.894,0.577,-38.99,101.22,77.77
0.735,-0.915,0.703,-23.73,106.12,73.64
0.758,-0.929,0.858,-21.77,102.48,68.04
0.772,-0.924,1.051,-22.61,90.3,65.87
0.82,-0.853,1.279,-32.76,58.17,46.41
0.399,-0.695,0.759,-162.05,51.8,47.95
0.866,-1.181,1.377,-176.47,57.33,106.89
0.831,-0.939,1.118,-119.35,41.79,106.96
0.659,-1.005,1.002,-98.28,34.58,98.21
0.872,-0.929,0.929,-99.75,34.02,87.36
0.937,-0.945,0.874,-97.16,34.79,79.94
0.957,-0.975,0.822,-89.67,32.13,74.34
0.906,-1.015,0.815,-94.64,28.21,68.88
0.892,-1.065,0.799,-108.15,22.75,61.6
0.896,-0.987,0.739,-107.03,20.09,53.48
0.857,-1.044,0.649,-92.96,18.48,49.21
0.864,-1.057,0.354,-78.33,17.78,37.73
0.843,-0.976,0.696,-79.24,15.96,35.0
0.793,-1.106,0.333,-42.63,21.21,21.35
0.806,-0.975,0.559,-52.71,23.38,18.34
0.79,-0.903,0.577,-59.22,21.14,17.15
0.74,-0.894,0.593,-60.55,16.45,13.3
0.669,-0.874,0.639,-58.24,9.8,8.54
0.615,-0.821,0.651,-59.64,2.66,7.42
0.657,-0.759,0.66,-76.16,5.53,15.89
0.853,-0.957,0.639,-80.85,0.77,13.79
0.853,-1.074,0.581,-59.43,-8.68,2.66
0.725,-1.047,0.479,-14.91,-12.88,-5.18
0.708,-0.888,0.407,14.42,-11.97,-7.56
0.651,-0.767,0.393,21.0,-8.75,-3.85
0.607,-0.684,0.393,19.95,-10.08,0.28
0.548,-0.626,0.399,16.73,-13.72,3.92
0.519,-0.62,0.42,15.68,-19.04,9.38
0.528,-0.558,0.516,-21.35,-26.46,18.2
0.529,-0.647,0.393,-22.54,-30.1,20.09
0.512,-0.723,0.295,-15.61,-32.69,20.23
0.54,-0.636,0.335,-48.44,-37.24,25.9
0.513,-0.732,0.241,-36.54,-37.45,27.37
0.515,-0.745,0.302,-38.85,-36.54,28.56
0.546,-0.769,0.285,-35.7,-31.01,27.86
0.579,-0.817,0.262,-28.56,-23.1,24.15
0.613,-0.864,0.265,-21.14,-13.86,18.27
0.637,-0.889,0.262,-12.11,-4.48,11.41
0.637,-0.896,0.288,-7.0,-1.82,5.04
0.633,-0.883,0.318,-4.97,-1.75,1.05
0.61,-0.867,0.346,-4.76,-3.43,-0.91
0.592,-0.836,0.339,-2.94,-5.67,-2.1
0.569,-0.795,0.33,-0.98,-6.51,-2.45
0.566,-0.758,0.314,2.1,-6.37,-2.38
0.557,-0.747,0.351,4.69,-7.07,-1.75
0.549,-0.737,0.346,8.4,-8.96,0.07
0.528,-0.722,0.333,16.8,-12.18,3.08
0.535,-0.743,0.347,22.47,-15.19,7.14
0.545,-0.77,0.323,29.33,-16.73,10.43
0.55,-0.804,0.279,42.84,-15.68,11.97
0.581,-0.833,0.293,54.18,-13.16,10.71
0.599,-0.815,0.287,51.45,-11.13,7.49
0.607,-0.811,0.239,48.3,-8.47,3.57
0.601,-0.815,0.247,43.54,-5.04,0.84
0.596,-0.814,0.251,37.45,-1.68,-2.73
0.588,-0.816,0.256,39.27,1.68,-5.32
0.59,-0.813,0.279,38.57,3.99,-7.14
0.59,-0.805,0.309,35.35,5.25,-7.98
0.581,-0.785,0.344,28.84,5.11,-7.98
0.579,-0.768,0.361,21.84,4.76,-8.12
0.579,-0.755,0.353,17.92,4.76,-7.91
0.573,-0.736,0.35,12.81,4.97,-6.51
0.57,-0.731,0.347,6.3,5.04,-4.06
0.564,-0.724,0.353,1.75,4.97,-0.91
0.556,-0.724,0.359,1.33,4.69,2.38
0.565,-0.726,0.378,0.21,3.85,4.27
0.573,-0.731,0.397,2.45,2.03,4.83
0.591,-0.743,0.415,1.96,-0.35,4.48
0.594,-0.755,0.395,1.26,-1.54,3.99
0.593,-0.763,0.385,4.34,-1.68,2.73
0.596,-0.77,0.39,5.32,-2.03,1.47
0.59,-0.772,0.381,4.2,-2.38,0.21
0.59,-0.772,0.358,4.48,-2.31,-2.31
0.589,-0.769,0.348,-1.12,-1.19,-2.66
0.582,-0.771,0.331,-3.43,1.12,-3.78
0.583,-0.775,0.322,-2.8,3.01,-4.76
0.575,-0.773,0.318,-3.01,5.25,-4.76
0.579,-0.759,0.347,-7.77,5.18,-3.85
0.573,-0.744,0.349,-12.46,4.55,-2.45
0.574,-0.741,0.36,-12.39,3.64,-2.24
0.576,-0.738,0.393,-14.14,1.96,-1.54
0.581,-0.734,0.396,-16.87,0.49,-0.35
0.575,-0.738,0.389,-17.85,-0.77,0.28
0.572,-0.738,0.38,-19.95,-2.1,1.12
0.57,-0.752,0.357,-17.57,-2.73,2.1
0.563,-0.767,0.336,-9.17,-1.33,2.24
0.569,-0.78,0.345,-5.46,-0.7,1.47
0.58,-0.787,0.338,-3.64,-0.49,0.14
0.578,-0.786,0.333,-3.85,-0.07,-0.84
0.584,-0.787,0.324,-5.6,0.91,-2.03
0.576,-0.781,0.316,-5.04,1.68,-2.87
0.573,-0.78,0.334,-4.2,2.1,-3.08
0.567,-0.773,0.328,-4.06,2.87,-2.59
0.56,-0.774,0.317,1.61,4.41,-2.52
0.564,-0.773,0.33,9.24,5.04,-3.5
0.573,-0.771,0.358,7.7,4.76,-3.08
0.573,-0.767,0.362,4.76,4.2,-2.66
0.573,-0.756,0.379,3.71,2.45,-2.24
0.577,-0.746,0.399,0.21,0.21,-0.84
0.576,-0.737,0.4,-5.74,-1.33,1.12
0.576,-0.74,0.394,-8.4,-3.29,2.59
0.574,-0.754,0.396,-10.01,-5.46,2.87
0.577,-0.766,0.346,-7.14,-5.6,2.45
0.572,-0.768,0.335,-1.89,-5.04,1.26
0.576,-0.778,0.336,-2.73,-4.55,0.07
0.569,-0.781,0.321,-4.69,-4.2,-0.49
0.831,-1.254,0.535,63.63,41.16,-15.4
0.86,-1.342,0.571,72.59,38.29,-26.32
0.872,-1.428,0.647,79.45,32.83,-39.48
0.878,-1.452,0.729,80.85,23.38,-54.53
0.887,-1.425,0.769,83.3,12.25,-67.69
0.897,-1.372,0.732,91.77,2.94,-77.21
0.88,-1.303,0.699,109.83,0.7,-84.91
0.876,-1.259,0.747,117.95,-2.52,-91.77
0.875,-1.194,0.768,120.4,-6.51,-96.39
0.882,-1.167,0.792,126.77,-12.25,-101.78
0.866,-1.125,0.849,118.44,-20.86,-105.07
0.872,-1.088,0.812,112.07,-27.23,-106.4
0.876,-1.098,0.822,113.82,-30.52,-109.41
0.867,-1.101,0.878,111.23,-35.42,-113.96
0.861,-1.098,0.953,104.51,-44.87,-118.09
0.854,-1.104,0.955,103.04,-54.95,-122.57
0.847,-1.105,0.959,101.92,-63.7,-128.73
0.843,-1.072,0.988,98.49,-74.2,-134.33
0.806,-1.042,0.963,100.31,-85.68,-138.95
0.783,-1.037,0.914,110.81,-92.26,-147.0
0.938,-0.935,0.968,130.34,-112.14,-165.48
1.295,-0.411,0.839,110.81,-121.59,-145.95
0.902,-0.429,0.044,137.9,-84.91,-131.04
0.97,-0.573,0.705,130.97,-83.58,-129.01
0.985,-0.69,0.744,111.93,-95.06,-126.91
0.877,-0.735,0.755,101.01,-104.37,-126.56
0.836,-0.745,0.894,75.6,-113.26,-125.79
0.654,-0.843,1.053,77.91,-118.86,-133.07
0.587,-0.852,1.203,69.3,-141.47,-140.63
0.553,-0.725,1.142,67.34,-157.15,-142.73
0.475,-0.676,0.965,82.18,-163.17,-142.94
0.422,-0.663,0.849,103.39,-162.19,-143.15
0.415,-0.658,0.83,122.71,-161.84,-143.43
0.411,-0.509,0.87,132.93,-167.51,-145.39
0.405,-0.591,0.895,132.23,-177.87,-147.0
0.43,-0.524,0.782,134.33,-185.71,-148.82
0.453,-0.464,0.732,133.63,-194.04,-150.36
0.497,-0.431,0.522,127.82,-179.97,-149.59
0.481,-0.398,0.41,137.83,-187.25,-147.42
0.497,-0.403,0.558,133.7,-191.38,-149.73
0.501,-0.459,0.562,119.63,-203.21,-157.99
0.457,-0.461,0.454,115.29,-211.96,-167.16
0.405,-0.421,0.439,107.24,-217.98,-171.64
0.386,-0.298,0.219,120.96,-212.17,-168.0
0.381,-0.29,0.185,134.54,-199.29,-163.59
0.36,-0.329,0.203,143.29,-187.6,-160.65
0.328,-0.328,0.201,160.93,-176.89,-159.39
0.299,-0.286,0.376,161.21,-178.01,-157.22
0.282,-0.242,0.36,158.83,-182.28,-153.72
0.328,-0.328,0.201,160.93,-176.89,-159.39
0.299,-0.286,0.376,161.21,-178.01,-157.22
0.282,-0.242,0.36,158.83,-182.28,-153.72
0.283,-0.2,0.292,170.52,-178.92,-150.29
0.262,-0.208,0.457,170.31,-187.81,-148.61
0.248,-0.204,0.47,168.28,-202.79,-148.33
0.24,-0.177,0.45,170.87,-216.3,-147.98
0.203,-0.151,0.381,171.92,-226.66,-149.31
0.133,-0.148,0.326,173.25,-238.21,-149.31
0.081,-0.065,0.211,173.74,-246.96,-144.41
0.085,-0.004,0.121,173.39,-253.68,-139.23
0.014,-0.09,0.16,158.55,-270.41,-140.63
-0.033,-0.108,-0.101,142.66,-291.41,-143.22
-0.112,-0.041,-0.359,142.17,-291.06,-139.23
-0.216,-0.107,-0.565,150.57,-282.45,-133.07
-0.322,-0.198,-0.683,164.99,-272.58,-133.21
-0.394,-0.192,-0.778,163.66,-267.68,-134.89
-0.427,-0.195,-0.928,162.96,-264.18,-138.46
-0.441,-0.144,-1.14,154.42,-260.82,-141.12
-0.44,-0.06,-1.246,144.97,-258.79,-142.45
-0.473,0.002,-1.363,131.32,-256.76,-138.67
-0.506,0.155,-1.421,122.36,-254.1,-130.13
-0.567,0.144,-1.43,108.99,-256.27,-124.11
-0.704,0.031,-1.456,96.67,-261.73,-128.94
-1.227,-0.246,-1.365,55.09,-299.81,-147.35
-1.71,-0.553,-1.545,26.39,-337.96,-175.98
-1.811,-0.749,-1.926,4.34,-355.88,-208.53
-1.595,-0.304,-2.263,-51.45,-342.02,-212.31
-1.278,0.529,-3.45,11.48,-281.26,-162.68
-0.737,1.378,-3.982,29.61,-204.4,-91.63
-0.078,1.969,-4.235,18.55,-117.46,-30.66
0.368,1.974,-3.999,36.26,32.2,14.63
0.234,1.542,-3.098,29.68,119.7,41.86
-0.074,0.774,-1.961,0.77,157.85,42.63
-0.161,0.348,-1.063,-27.44,158.27,35.49
-0.137,0.247,-0.391,-30.52,130.97,31.85
-0.104,0.142,-0.095,-29.47,93.24,26.46
0.002,0.107,0.045,-29.12,53.55,19.18
0.197,0.156,-0.017,-26.25,18.9,11.83
0.34,0.197,-0.186,-21.84,-2.52,7.21
0.387,0.163,-0.436,-13.86,-12.74,0.42
0.397,0.149,-0.612,-12.95,-17.85,-8.05
0.405,0.16,-0.859,-9.38,-18.34,-17.85
0.36,0.189,-1.088,-1.26,-12.67,-23.94
0.295,0.266,-1.346,-2.52,-1.68,-24.57
0.199,0.325,-1.392,-5.67,7.56,-21.84
0.14,0.36,-1.475,-7.56,18.06,-17.36
0.092,0.359,-1.529,-10.01,30.31,-13.51
0.033,0.351,-1.557,-11.62,42.28,-9.45
-0.025,0.33,-1.556,-14.77,52.36,-6.93
-0.081,0.337,-1.555,-21.49,60.97,-6.37
-0.126,0.377,-1.581,-28.63,69.3,-4.34
-0.178,0.423,-1.624,-34.44,78.68,-0.07
-0.215,0.493,-1.65,-41.79,93.1,8.26
-0.23,0.542,-1.642,-49.56,103.74,18.55
-0.232,0.552,-1.621,-55.79,114.17,28.98
-0.212,0.521,-1.609,-58.17,125.93,36.96
-0.209,0.486,-1.497,-62.65,135.94,43.26
-0.2,0.454,-1.447,-78.96,143.92,51.24
-0.171,0.437,-1.327,-79.52,151.62,58.59
-0.14,0.393,-1.239,-84.7,159.46,63.84
-0.131,0.341,-1.182,-85.33,167.86,67.34
-0.116,0.307,-1.097,-86.03,173.95,71.19
-0.081,0.305,-1.005,-89.95,178.5,76.51
-0.054,0.296,-0.935,-92.54,183.61,82.88
-0.029,0.267,-0.818,-94.5,185.43,88.13
-0.004,0.258,-0.709,-94.85,184.31,94.01
0.004,0.25,-0.611,-101.78,180.74,100.31
0.033,0.248,-0.547,-107.24,174.93,105.84
0.074,0.225,-0.505,-111.09,167.44,108.71
0.117,0.214,-0.529,-116.76,163.1,109.69
0.155,0.205,-0.574,-119.07,163.87,111.02
0.195,0.35,-0.619,-118.86,168.56,116.34
1.002,-0.73,0.977,-77.0,122.01,88.2
0.996,-0.727,0.905,-77.63,116.06,80.57
0.943,-0.702,0.917,-73.22,109.13,76.09
0.913,-0.644,0.929,-66.78,101.57,74.06
0.942,-0.593,0.955,-63.21,93.45,72.59
0.995,-0.638,0.99,-57.12,87.43,69.3
1.026,-0.708,1.057,-51.94,82.88,65.31
1.078,-0.751,1.151,-42.28,79.31,62.37
1.098,-0.763,1.234,-40.53,72.8,57.4
1.115,-0.781,1.339,-44.38,59.85,52.22
1.088,-0.784,1.276,-50.89,45.85,43.54
1.071,-0.732,1.181,-59.22,34.51,40.18
1.056,-0.683,1.063,-63.63,25.83,39.27
1.008,-0.687,0.989,-70.14,16.52,37.52
0.956,-0.694,0.856,-68.6,8.4,34.86
0.936,-0.682,0.755,-73.36,-0.14,36.54
0.837,-0.652,0.636,-100.87,-2.24,27.37
0.9,-0.692,0.587,-69.86,14.21,24.15
0.917,-0.607,0.399,-91.07,21.84,21.91
0.839,-0.582,0.378,-69.23,30.31,16.87
0.818,-0.541,0.332,-65.45,37.24,12.39
0.754,-0.476,0.333,-48.58,44.73,12.46
0.715,-0.458,0.42,-49.91,48.86,13.72
0.666,-0.439,0.504,-51.1,48.3,13.51
0.644,-0.466,0.661,-57.05,39.76,13.37
0.6,-0.465,0.716,-88.41,28.28,13.16
0.588,-0.438,0.686,-89.04,17.99,13.65
0.61,-0.385,0.738,-115.99,5.6,17.08
0.615,-0.361,0.583,-120.33,-1.4,20.09
0.619,-0.386,0.547,-119.77,-4.2,23.31
0.653,-0.394,0.617,-132.51,-9.87,27.72
0.691,-0.402,0.485,-131.39,-11.55,31.29
0.705,-0.438,0.447,-132.51,-9.87,36.82
0.735,-0.489,0.447,-128.24,-4.48,40.95
0.748,-0.553,0.454,-123.55,-1.89,41.72
0.757,-0.63,0.383,-105.28,1.12,40.04
0.77,-0.648,0.325,-69.79,7.14,41.02
0.818,-0.66,0.414,-42.14,12.88,45.15
0.878,-0.673,0.496,-41.58,17.64,51.17
0.879,-0.757,0.49,-38.92,23.94,51.1
0.837,-0.89,0.614,-36.26,22.89,43.82
0.787,-0.997,0.723,-31.57,18.55,51.94
0.946,-0.944,0.5,-5.04,53.55,49.7
1.044,-1.281,0.38,65.8,86.8,25.9
0.657,-1.247,1.018,35.63,67.76,-6.02
0.549,-0.935,1.086,6.37,25.41,-20.79
0.621,-0.611,0.768,-6.44,-3.01,-17.22
0.642,-0.554,0.524,-1.75,-10.92,-10.99
0.607,-0.524,0.413,0.63,-6.09,-3.99
0.637,-0.501,0.388,4.06,-0.56,2.94
0.647,-0.512,0.398,2.8,2.73,7.07
0.628,-0.526,0.392,3.99,6.72,10.85
0.643,-0.552,0.388,5.25,11.2,14.0
0.652,-0.588,0.391,9.24,15.75,16.1
0.653,-0.627,0.415,10.99,19.18,16.59
0.651,-0.651,0.436,11.48,20.93,15.26
0.658,-0.674,0.476,9.73,20.37,13.44
0.656,-0.694,0.484,7.07,19.32,10.43
0.649,-0.698,0.503,6.93,17.78,7.49
0.651,-0.691,0.563,7.49,14.35,4.62
0.637,-0.711,0.607,3.01,8.47,0.91
0.625,-0.699,0.615,1.75,2.03,-1.68
0.619,-0.675,0.618,-0.42,-3.92,-3.15
0.61,-0.646,0.581,-1.54,-7.21,-3.57
0.612,-0.607,0.555,0.14,-8.82,-2.31
0.612,-0.596,0.539,-1.89,-10.64,-0.98
0.615,-0.592,0.498,-3.01,-10.22,0.7
0.628,-0.591,0.46,-0.84,-7.7,2.03
0.63,-0.607,0.456,0.21,-5.67,2.94
0.63,-0.625,0.458,0.56,-4.76,3.15
0.628,-0.645,0.461,1.68,-3.64,3.5
0.631,-0.652,0.478,2.66,-3.29,3.43
0.629,-0.659,0.49,2.87,-3.43,2.94
0.629,-0.652,0.484,2.87,-3.36,2.73
0.634,-0.641,0.483,2.8,-3.5,3.29
0.631,-0.644,0.485,4.55,-3.99,3.08
0.626,-0.646,0.508,5.88,-4.83,3.15
0.628,-0.636,0.525,3.64,-6.79,3.57
0.629,-0.627,0.513,0.98,-8.4,4.13
0.629,-0.639,0.5,-0.56,-9.03,4.13
0.631,-0.645,0.477,-0.7,-9.17,3.92
0.633,-0.641,0.463,-1.33,-8.96,3.64
0.637,-0.638,0.437,-0.63,-8.05,3.78
0.638,-0.642,0.42,0.14,-5.88,3.78
0.639,-0.64,0.422,1.89,-3.36,3.29
0.641,-0.641,0.425,2.8,-1.33,2.94
0.64,-0.65,0.427,3.29,0.77,2.87
0.638,-0.652,0.422,4.48,3.43,3.92
0.632,-0.644,0.431,7.0,5.74,4.83
0.634,-0.642,0.451,7.07,6.37,4.55
0.635,-0.642,0.465,5.81,6.65,4.48
0.63,-0.639,0.444,7.49,8.47,4.83
0.628,-0.645,0.452,9.1,10.08,4.83
0.63,-0.642,0.47,10.64,10.78,4.41
0.629,-0.636,0.495,11.2,11.06,3.5
0.622,-0.639,0.517,9.45,10.36,2.8
0.622,-0.634,0.545,4.34,8.47,2.45
0.624,-0.647,0.528,4.41,6.65,0.84
0.61,-0.657,0.531,6.23,5.32,0.35
0.617,-0.639,0.533,4.13,3.5,0.56
0.617,-0.63,0.531,2.94,2.24,0.98
0.614,-0.627,0.516,2.87,1.68,1.68
0.614,-0.64,0.523,1.26,0.63,1.68
0.617,-0.64,0.506,0.63,0.21,1.33
0.62,-0.655,0.477,2.31,0.63,0.98
0.619,-0.665,0.479,3.85,1.4,0.7
0.617,-0.649,0.476,4.9,2.17,0.91
0.615,-0.629,0.483,5.11,2.45,2.1
0.619,-0.629,0.483,6.09,2.45,3.57
0.613,-0.636,0.49,7.0,3.15,4.48
0.613,-0.637,0.509,5.39,2.94,4.55
0.616,-0.633,0.507,4.06,2.38,4.41
0.614,-0.635,0.507,2.52,2.1,3.85
0.614,-0.647,0.503,1.61,2.1,3.22
0.613,-0.646,0.513,1.26,1.68,2.66
0.61,-0.642,0.516,0.49,1.12,2.03
0.609,-0.645,0.509,0.42,1.19,1.54
0.606,-0.646,0.513,0.21,1.12,1.68
0.605,-0.642,0.506,0.7,1.12,1.61
0.845,-1.204,0.736,81.13,-4.9,18.34
0.886,-1.306,0.817,62.3,-5.04,4.48
0.915,-1.296,0.751,67.55,-4.69,-8.75
0.987,-1.263,0.759,81.97,-10.92,-15.89
